指标,地区,频度,单位,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
房地产开发企业商品房销售面积_累计,全国,月,万平方米,8763.89,18254.44,26384.57,35996.38,50263.64,59914.42,69674.96,82908.25,94898.12,109252.74,128494.97,11234.56,24299.21,36012.24,47954.22,64302.49,75760.19,87450.77,105184.53,120338.28,135829.49,157348.53
房地产开发企业商品房销售面积_累计,北京市,月,万平方米,106.23,203.81,297.35,428.05,574.14,718.92,847.89,972.5,1104.28,1340.66,1554.25,136.87,249.44,382.9,487.68,650.6,807.34,947.37,1103.67,1240.57,1367.17,1658.93
房地产开发企业商品房销售面积_累计,天津市,月,万平方米,173.13,349.4,443.45,594.75,704.46,792.91,924.46,1117.04,1272.36,1395.93,1771.07,177.55,414.19,663.29,854.37,1008.17,1153.06,1329.57,1670.32,1897.12,2211.03,2711.08
房地产开发企业商品房销售面积_累计,河北省,月,万平方米,190.64,605.49,882.64,1207.01,2016.43,2478.99,2898.67,3652.57,4151.95,4807.72,5854.65,239.82,745.23,1194.52,1536.08,2442.95,2926.44,3319.1,4292.45,4917.14,5627.31,6682.29
房地产开发企业商品房销售面积_累计,山西省,月,万平方米,45.92,137.56,211.44,311.73,464.81,589.45,728.93,906.46,1105.65,1348.55,1592.55,76.89,209.87,339.65,509.58,686.72,854.06,1001.33,1277.71,1480.37,1700.25,2061.06
房地产开发企业商品房销售面积_累计,内蒙古自治区,月,万平方米,14.06,100.99,171.86,329.12,571.56,695.36,866.31,1273.09,1689.76,2014.47,2369.37,16.58,118.25,203.46,379.67,668.43,811.01,987.18,1428.21,1749.77,2138.6,2527.85
房地产开发企业商品房销售面积_累计,辽宁省,月,万平方米,165.59,432.02,722.77,1082.23,1744.67,2234.73,2598.27,3017.71,3384.57,3694.91,3916.19,127.67,424.16,789.14,1173.64,1752.4,2123.03,2574.67,3019.64,3319.82,3570.97,3711.9
房地产开发企业商品房销售面积_累计,吉林省,月,万平方米,25.27,76.77,161.83,269.8,478.79,673.23,780.27,951.05,1097.16,1298.7,1491.85,63.67,166.99,260.15,391.74,614.16,812.82,995.48,1189.33,1391.37,1645.33,1919.3
房地产开发企业商品房销售面积_累计,黑龙江省,月,万平方米,49.36,156.21,267.21,385.09,597.03,749.48,897.68,1125.04,1416.03,1650.84,1996.61,45.12,138.36,259.43,405.11,612.56,793.05,964.92,1218.53,1498.17,1750.44,2117.29
房地产开发企业商品房销售面积_累计,上海市,月,万平方米,223.6,394.21,580.35,749.95,1014.74,1257.66,1456.75,1683.55,1905.56,2159.42,2431.36,274.78,501.83,717.65,970.03,1199.61,1533.81,1742.16,1999.03,2228.53,2419.8,2705.69
